wavelength_nm,c5,c4,c3,c2,c1,c0
7.675846272381600102e+02,4.772294691734923705e-11,-2.564493617699315101e-08,2.820523547519026965e-06,3.946751531013739569e-04,-1.809557935048076646e-02,1.762104547981555802e+00
7.677757460762600203e+02,3.903990041347497485e-11,-2.117309314047421402e-08,2.139354075068320157e-06,4.156364515700704428e-04,-1.665723391456482017e-02,1.751259633511200509e+00
7.679668482390400186e+02,2.790082653587234887e-11,-1.409623774361310835e-08,5.868490380923180631e-07,5.500358718186597329e-04,-2.074457953900772297e-02,1.814160302924175738e+00
7.681579337265000049e+02,3.634015210456645179e-11,-1.943696332289509591e-08,1.736581008596230257e-06,4.527206304998076256e-04,-1.770039462549161807e-02,1.771168076509785694e+00
7.683490025386399793e+02,2.012594472287911867e-11,-8.302056859760007859e-09,-9.820571554424296575e-07,7.313913399075800195e-04,-2.814444568113001061e-02,1.834058534105342364e+00
7.685400546754600555e+02,1.382216954145708786e-11,-5.525397324076473052e-09,-1.205433467113831161e-06,6.969804274834556822e-04,-2.424196424288007148e-02,1.790610943209069772e+00
7.687310901369600060e+02,1.957771346725233010e-11,-9.126435155513113160e-09,-3.908634921379125367e-07,6.192347667623457558e-04,-2.176243089760086444e-02,1.807299878558151773e+00
7.689221089231399446e+02,5.300091527811493318e-11,-2.969719822858226801e-08,3.916642039533123850e-06,2.723888639136756045e-04,-1.357658100103765857e-02,1.835580641048230266e+00
7.691131110339999850e+02,4.572373737631087580e-11,-2.446354611053952422e-08,2.607949499319370953e-06,4.094046216358472210e-04,-1.956075962969542476e-02,1.892207648223035665e+00
7.693040964695401271e+02,3.649064930509999965e-11,-1.835983318805886375e-08,1.209345150695936982e-06,5.309186205301484390e-04,-2.166292035047051590e-02,1.848179137796659433e+00
7.694950652297599163e+02,3.293056156616120184e-11,-1.571700991822745343e-08,5.156539802425460050e-07,6.057426662272598177e-04,-2.471363192456908775e-02,1.878404472065825059e+00
7.696860173146600346e+02,1.762561030462465758e-11,-6.127702894618848427e-09,-1.562708224571043208e-06,7.838891723197107626e-04,-2.947629865244831560e-02,1.876335897408720088e+00
7.698769527242400272e+02,2.095849538227510454e-11,-8.488856389937522877e-09,-9.925159478242417901e-07,7.269919774448868220e-04,-2.705797147919590181e-02,1.860825680722469455e+00
7.700678714585000080e+02,2.404910136888521209e-11,-1.021028713324661953e-08,-6.931280419610895874e-07,7.186711001880974467e-04,-2.948453117942159349e-02,1.982004175583899297e+00
7.702587735174399768e+02,2.449212876014746104e-11,-1.117481043109312358e-08,-3.104677510240837353e-07,6.663155292402909210e-04,-2.725382908294150114e-02,2.008911846671021184e+00
7.704496589010600474e+02,3.537423936063938703e-11,-1.672000513166881503e-08,4.987723933391954130e-07,6.553978544592587189e-04,-3.099974351091758576e-02,2.101896405192927642e+00
7.706405276093599923e+02,2.209584350404229078e-11,-8.249753513450804053e-09,-1.332013285539854046e-06,8.063473594460748026e-04,-3.446703295852761306e-02,2.059680263436085124e+00
7.708313796423399253e+02,3.275095357398135490e-11,-1.493497456955907805e-08,1.052035929990347526e-07,6.818468445915007448e-04,-2.988614844164630066e-02,1.949927673153826646e+00
7.710222150000000738e+02,2.539208526146049609e-11,-1.134902819559969226e-08,-2.907798184903722965e-07,6.525431853105217051e-04,-2.450982115961064522e-02,1.853586842450794636e+00
7.712130336823399830e+02,3.530507176602088473e-11,-1.858720919262670074e-08,1.557821776137119116e-06,4.644488321991740022e-04,-1.910179900492468136e-02,1.927197993666619036e+00
7.714038356893599939e+02,3.805992649553550607e-12,1.528252388475921446e-09,-2.970310075281404231e-06,8.876497315152055180e-04,-3.404339100743535018e-02,2.090504805792703813e+00
7.715946210210599929e+02,-1.036554686004796868e-12,4.433215484434836465e-09,-3.547701655685136687e-06,9.273381789753287969e-04,-3.493007899488976414e-02,2.120727029032863253e+00
7.717853896774399800e+02,2.130555312281390665e-11,-8.935629597106018426e-09,-8.395081344194776472e-07,7.133609448855229200e-04,-2.904781738106623767e-02,2.067798173158091668e+00
7.719761416584999552e+02,1.662327917731531747e-11,-4.979457468464410524e-09,-1.965882953084939183e-06,8.468195193484032157e-04,-3.452596675488862205e-02,2.035218386381657751e+00
7.721668769642400321e+02,2.104488703652246953e-11,-8.331958705431712760e-09,-1.111269479359791631e-06,7.651361044769583626e-04,-3.270086964650657790e-02,2.083259776732915736e+00
7.723575955946600970e+02,2.186357126421036296e-11,-8.747177699038831918e-09,-1.058658898323348797e-06,7.636358889127099628e-04,-3.228343965421743428e-02,2.084840860914930705e+00
7.725482975497599227e+02,3.154332859105618460e-11,-1.428731606256700083e-08,6.106441860981436015e-09,6.894384144508543949e-04,-3.134615583293105801e-02,2.085585129623134470e+00
7.727389828295399639e+02,4.567110769643371938e-11,-2.436617403307096923e-08,2.498665826488451521e-06,4.376976661368636268e-04,-2.204135508371045382e-02,2.039999513522957386e+00
7.729296514340001067e+02,2.723133547194639045e-11,-1.307258575428600173e-08,1.522874900630113068e-07,6.305684779262553993e-04,-2.816255061486759581e-02,2.143823607247988594e+00
7.731203033631400103e+02,1.437245677171264378e-11,-4.095473323969777513e-09,-2.046107054733541706e-06,8.494536022198367290e-04,-3.556439749793364330e-02,2.152951704141809142e+00
7.733109386169600157e+02,1.441019364555737338e-11,-3.104023182988775917e-09,-2.573077930308520916e-06,9.361698243629967440e-04,-3.974533844237411462e-02,2.128726501748272604e+00
7.735015571954600091e+02,1.433233739432019584e-11,-2.969567023867699752e-09,-2.670477792560232255e-06,9.546480153756226484e-04,-4.011814153484660056e-02,2.083920675561315328e+00
7.736921590986399906e+02,1.925099112243333044e-11,-7.852784078930506986e-09,-1.033106125479645949e-06,7.274659248238060259e-04,-2.823838199523847833e-02,1.952646241292016027e+00
7.738827443264999602e+02,1.212529917528552026e-11,-3.059768839145150480e-09,-2.144661819730750646e-06,8.318113567631282715e-04,-3.195964196692509945e-02,1.997252440648186411e+00
7.740733128790400315e+02,2.421892823237020739e-11,-1.117437426875775210e-08,-2.010516096760451363e-07,6.290919607799538849e-04,-2.350221394021103499e-02,1.950106267061929133e+00
7.742638647562599772e+02,1.237358161553300392e-11,-2.654283156444601200e-09,-2.377003504055001100e-06,8.626203199721805106e-04,-3.287379857625898072e-02,2.010607010724463795e+00
7.744543999581599110e+02,-6.909090645952103188e-13,5.393245127304965929e-09,-4.124750783093747662e-06,1.020233419548602404e-03,-3.805323049679893571e-02,2.013777750937434607e+00
7.746449184847400602e+02,1.882804325932669493e-11,-6.826077758241475246e-09,-1.472832657876120155e-06,7.964050061452890598e-04,-3.297328252168855306e-02,2.062097991455750901e+00
7.748354203359999701e+02,-1.496535544310608387e-13,5.575193268101661383e-09,-4.300997206194897426e-06,1.054352667505801654e-03,-4.030770553694624364e-02,2.069502982383661482e+00
7.750259055119399818e+02,2.114559641178952116e-11,-8.330782605139986644e-09,-1.114931662268602392e-06,7.612448157594825385e-04,-3.104189036595631987e-02,1.956302147497400279e+00
7.752163740125599816e+02,1.961425800776971045e-11,-6.952121211845493290e-09,-1.559763229797550764e-06,8.206628190016740940e-04,-3.400154724908627246e-02,2.019750395192525527e+00
7.754068258378600831e+02,1.450259445054770347e-11,-4.752409776626439394e-09,-1.764733779220826622e-06,8.062208377864270000e-04,-3.243247767327112757e-02,2.055419588342282111e+00
